
"日/時","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","平均"
"01","1002.3","1002.0","1001.7","1001.6","1001.8","1002.1","1002.9","1003.2","1003.7","1004.3","1004.2","1004.1","1003.6","1003.1","1002.7","1002.3","1002.3","1003.0","1003.7","1004.1","1005.2","1005.4","1005.2","1005.0","1003.3"
"02","1005.1","1004.8","1005.0","1005.0","1005.1","1005.4","1005.9","1006.4","1006.5","1006.6","1006.5","1006.2","1005.6","1005.0","1004.4","1004.8","1004.5","1004.9","1005.8","1006.6","1007.3","1007.6","1007.3","--","1005.8"
"03","1007.1","1006.8","1006.8","1006.9","1007.1","1007.4","1008.1","1008.5","1009.0","1009.6","1009.2","1008.8","1008.3","1007.7","1007.1","1007.7","1008.3","1008.2","1008.7","--","--","--","--","1010.6","1008.5"
"04","1010.3","1010.2","1009.3","1009.1","1009.2","1009.4","1009.8","1010.1","1010.4","1010.3","1010.0","1009.4","1008.7","1007.8","1007.0","1007.0","1006.8","1006.9","1007.2","1007.7","1008.5","1008.7","1008.7","1008.4","1008.8"
"05","1007.6","1007.1","1006.5","1006.2","1006.2","1006.5","1007.2","1007.6","1007.7","1007.6","1007.2","1006.5","1005.8","1005.1","--","1004.2","1004.0","1004.2","1004.7","1005.1","1005.5","1005.4","1005.1","1004.7","1005.9"
"06","1004.3","1003.6","1003.5","1003.6","1003.9","1004.5","1004.9","1005.4","1005.7","1005.9","1005.7","1005.3","1004.5","1004.4","1004.2","1004.2","1004.5","1004.4","1004.3","1004.8","1005.7","1005.8","1006.4","1006.5","1004.8"
"07","1006.5","1006.3","1006.2","1006.4","1006.9","1007.7","1008.5","1009.1","1009.3","1008.7","1008.7","1008.6","1008.1","1007.7","--","--","1008.0","1008.8","1009.2","1010.3","1010.8","1011.7","1011.7","1011.5","1008.6"
"08","1011.4","1011.2","1011.1","1011.1","1011.3","1011.6","1012.0","1012.2","1012.0","1012.1","1011.7","1011.8","1011.6","1011.4","1011.2","1011.1","1011.5","1011.7","1012.0","1012.9","1013.1","1013.3","1012.8","1012.1","1011.8"
"09","1011.4","1010.8","1010.2","1010.2","1010.6","1011.5","1011.9","1012.4","1012.4","1011.7","1011.1","1010.2","1009.4","1008.7","1008.4","1007.9","1007.9","1008.1","--","1008.9","1009.1","1009.3","1009.0","1008.5","1009.9"
"10","1008.1","1008.0","1007.7","1007.6","1007.5","1007.4","1008.0","1008.2","1008.5","1008.3","1007.6","1007.0","1006.5","1005.8","1005.1","1005.5","1006.0","1006.6","1007.1","1007.9","1008.1","1008.3","1008.2","1007.7","1007.4"
"11","1007.2","1007.1","1007.4","1007.6","1008.0","1008.4","1008.6","1009.0","1009.1","1009.1","1009.2","1008.9","1008.3","1007.9","1007.9","1007.7","1008.2","1008.0","1008.6","1009.4","1009.6","1010.1","1010.6","1010.3","1008.6"
"12","1010.1","1009.5","1009.6","1009.3","1009.6","1010.2","1011.1","1011.6","1011.7","1011.7","1011.6","1011.1","1010.5","1009.9","--","1010.3","1011.0","1011.1","1011.8","1011.9","1012.4","1012.3","1012.3","1012.4","1011.0"
"13","1012.0","1011.8","1011.4","1011.0","1010.6","1011.3","1011.5","1012.4","1012.4","1012.2","1011.9","1011.7","1010.6","1009.9","1009.8","1010.0","1009.8","1010.0","1011.0","1011.4","1011.9","1012.1","1011.9","1011.8","1011.3"
"14","1011.3","1010.5","1009.9","1009.7","1009.9","1010.1","1010.6","1011.3","1011.4","1011.5","1011.4","1010.6","1009.8","1008.9","1008.3","--","1008.6","1009.0","1009.4","1010.2","1010.9","1011.4","1011.3","1011.1","1010.2"
"15","1010.3","1009.7","1009.3","1009.2","1009.0","1009.6","1010.1","1010.6","1010.6","1010.7","1010.4","1009.8","1008.9","1008.6","1008.1","1007.9","1008.0","1008.5","1009.5","1010.1","1010.8","1010.7","1010.3","1010.1","1009.6"
"16","1009.4","1009.2","1008.8","1008.6","1008.7","1008.8","1009.3","1009.7","1010.1","1009.9","1009.6","1009.1","1008.8","1008.6","1008.0","1007.7","1007.7","1008.1","1008.4","1008.9","1009.4","1009.7","1009.4","1009.4","1009.0"
"17","1009.0","1008.7","1008.3","1008.1","1007.9","1008.1","1008.5","1008.6","1008.7","1008.9","1009.1","1008.5","1008.1","1007.5","--","1007.0","1007.2","1007.7","1008.4","1009.2","1009.9","1010.2","1010.5","1010.6","1008.6"
"18","1010.5","1010.4","1010.4","1010.0","1010.2","1010.6","1011.2","1011.8","1012.3","1012.4","1012.2","1011.7","1011.6","1010.8","1010.1","1010.4","1011.1","1011.3","1012.2","1012.9","1013.5","1014.0","1014.1","1013.9","1011.7"
"19","1013.4","1013.2","1012.9","1012.5","1012.6","1012.9","1013.4","1014.1","1014.5","1014.3","1013.7","1013.0","1012.4","1011.8","1011.4","1011.5","1011.4","--","1012.2","1012.9","1013.3","1013.1","1012.7","1012.7","1012.8"
